basestalon	 basestalat	 phi	 dt	 basesta 

 -121.760800	  46.560500	  -78.608583	  1.468354	 E05A
 -119.854800	  46.558500	  -76.458261	  1.265823	 E07A
 -119.059500	  46.491100	  -76.994797	  1.063291	 E08A
 -118.145500	  46.513900	  -85.444923	  0.962025	 E09A
 -117.110200	  46.485000	  -78.836439	  0.708861	 E10A
 -116.209200	  46.355900	  -88.333134	  0.506329	 E11A
 -121.458000	  45.883900	  -75.543647	  1.569620	 F05A
 -120.781700	  45.766400	  -77.159353	  1.721519	 F06A
 -119.927800	  45.895100	  -75.627073	  1.417722	 F07A
 -118.776800	  45.797100	  -81.963041	  1.164557	 F08A
 -117.909400	  45.708700	  -77.469545	  0.962025	 F09A
 -117.227700	  45.973400	  -84.014695	  0.759494	 F10A
 -116.154900	  45.888300	  -80.404686	  0.556962	 F11A
 -121.316700	  45.242200	  -81.568016	  1.569620	 G05A
 -120.635100	  45.235700	  -74.164839	  1.468354	 G06A
 -119.669200	  45.266400	  -84.589041	  1.417722	 G07A
 -118.959500	  45.290400	  -78.167319	  1.215190	 G08A
 -117.780200	  45.278100	  -80.479816	  0.860759	 G09A
 -117.120400	  45.292500	  -85.092887	  0.911392	 G10A
 -121.227100	  44.647300	  -82.612829	  1.569620	 H05A
 -120.334600	  44.734400	  -80.073665	  1.316456	 H06A
 -119.564600	  44.591300	  -76.648090	  1.468354	 H07A
 -118.670400	  44.519100	  -84.141429	  1.164557	 H08A
 -116.747400	  44.589000	  -81.019819	  0.607595	 H10A
 -121.267500	  44.162600	  -83.713835	  1.367089	 I05A
 -120.210700	  43.943700	  -88.133408	  1.468354	 I06A
 -119.504200	  44.082000	  -80.701230	  1.215190	 I07A
 -117.740700	  43.973300	  -85.707008	  0.860759	 I09A
 -116.802900	  44.086000	  -87.150940	  0.556962	 I10A
 -115.957800	  43.912100	  77.293623	  0.202532	 I11A
 -116.981400	  43.289900	  -88.403317	  0.556962	 ID001
 -116.507000	  43.194700	  -83.154933	  0.405063	 ID002
 -116.626900	  42.917000	  88.726158	  0.405063	 ID004
 -116.133000	  42.833900	  81.985477	  0.253165	 ID005
 -116.364800	  42.663400	  86.825010	  0.303797	 ID007
 -115.980500	  42.546600	  89.015889	  0.151899	 ID008
 -116.288200	  42.339700	  75.807899	  0.354430	 ID014
 -116.170100	  42.308800	  73.867310	  0.303797	 ID015
 -116.689800	  42.293600	  89.577976	  0.455696	 ID016
 -121.235700	  43.284300	  -87.829629	  1.164557	 J05A
 -120.152800	  43.251500	  -84.211163	  1.063291	 J06A
 -119.310500	  43.373600	  -88.709149	  0.962025	 J07A
 -118.474300	  43.358000	  -88.235188	  1.012658	 J08A
 -117.754200	  43.347100	  -80.828787	  0.860759	 J09A
 -116.767000	  43.427500	  -80.256940	  0.556962	 J10A
 -115.827800	  43.415100	  70.267730	  0.151899	 J11A
 -120.893400	  42.725800	  85.284757	  1.012658	 K05A
 -120.251000	  42.799100	  81.662591	  1.063291	 K06A
 -119.246900	  42.691200	  -89.784076	  1.063291	 K07A
 -118.486400	  42.730800	  -88.348522	  0.860759	 K08A
 -117.725100	  42.699600	  -87.926425	  0.708861	 K09A
 -116.870500	  42.777900	  85.564845	  0.556962	 K10A
 -116.032300	  42.771300	  82.029516	  0.202532	 K11A
 -120.833600	  42.047200	  75.221490	  0.911392	 L05A
 -119.339800	  42.018700	  74.058610	  0.911392	 L07A
 -118.344500	  42.190100	  82.641925	  0.860759	 L08A
 -117.666700	  42.019200	  82.990389	  0.860759	 L09A
 -116.471100	  42.077300	  84.659901	  0.405063	 L10A
 -115.754100	  42.166900	  62.069568	  0.202532	 L11A
 -120.477200	  41.204700	  64.305616	  1.063291	 M06C
 -119.171100	  41.388400	  66.057861	  1.012658	 M07A
 -118.379200	  41.448300	  69.504699	  0.962025	 M08A
 -117.449700	  41.423000	  79.011421	  0.658228	 M09A
 -116.539600	  41.522000	  80.525097	  0.354430	 M10A
 -115.791200	  41.431100	  71.915515	  0.253165	 M11A
 -118.661100	  41.966600	  77.429631	  0.911392	 NV001
 -115.959000	  41.918200	  64.911861	  0.354430	 NV004
 -118.610500	  41.826100	  74.435664	  0.911392	 NV008
 -116.324300	  41.827200	  83.695926	  0.354430	 NV009
 -118.583100	  41.618700	  72.418487	  0.911392	 NV013
 -117.874200	  45.021500	  -87.584865	  1.012658	 OR002
 -118.144400	  44.683200	  -79.806389	  1.012658	 OR005
 -119.027200	  44.491800	  -84.353204	  1.316456	 OR006
 -121.312800	  44.371200	  -80.707477	  1.468354	 OR007
 -120.974700	  44.409000	  -81.503074	  1.569620	 OR008
 -119.413200	  44.465700	  -77.581998	  1.417722	 OR009
 -118.836000	  44.396900	  -83.259442	  1.265823	 OR011
 -121.489800	  44.273900	  -84.826692	  1.367089	 OR012
 -119.024300	  44.203800	  -80.402701	  1.265823	 OR014
 -121.030200	  44.215500	  -79.566643	  1.468354	 OR015
 -120.601700	  44.214700	  -84.316505	  1.569620	 OR016
 -121.409400	  44.148700	  -85.799078	  1.316456	 OR018
 -118.993600	  44.112600	  -81.401030	  1.215190	 OR019
